rank,name,height,city,country,link
1,Burj Khalifa,828,Dubai,United Arab Emirates,burj.png
2,Shanghai Tower,632,Shanghai,China,shanghai.png
3,Makkah Royal Clock Tower,601,Mecca,Saudi Arabia,makkah.png
4,Ping An Finance Center,599.1,Shenzen,China,ping.png
5,Lotte World Tower,554.5,Seoul,Korea,lotte.png
6,One World Trade Center,541.3,New York City,USA,wtc.png
7,Guangzhou CTF Finance Center,530,Guangzhou,China,guangzhou.png
8,Taipei 101,508,Taipei,Taiwan,taipei101.png
9,Shanghai World Financial Center,492,Shanghai,China,shanghaiwfc.png
10,International Commerce Centre,484,Hong Kong,China,hk.png
11,Changsha IFS Tower,452.1,Changsha,China,changsha.png
12,Petronas Twin Towers,451.9,Kuala Lumpur,Malaysia,petronas.png
13,Zifeng Tower,450,Nanjing,China,zifeng.png
14,Willis Tower,442.1,Chicago,USA,willis.png
15,KK100,441.8,Shenzen,China,kk100.png
16,Guangzhou Interational Finance Center,438.6,Guangzhou,China,gifc.png
17,432 Park Ave,425.5,New York City,USA,432park.png
18,Marina 101,425,Dubai,United Arab Emirates,marina101.png
19,Trump International Hotel & Tower,423.2,Chicago,USA,trump.png
20,Jin Mao Tower,420.5,Shanghai,China,jinmao.png
